     Time[ps]     Time[ns]  CellLengthX  CellLengthY  CellLengthZ  TotalEnergy         Bond        Angle     Dihedral    Planarity      Coulomb          VdW      SurfVdW      SurfMol      SurfAcc SoluteHBonds SltSlvHBonds    SelHBonds    RecHBonds    SlvHBonds    TotHBonds      HB1Atm1      HB1Atm2         HB1E         HB1D      HB2Atm1      HB2Atm2         HB2E         HB2D      HB3Atm1      HB3Atm2         HB3E         HB3D      HB4Atm1      HB4Atm2         HB4E         HB4D      HB5Atm1      HB5Atm2         HB5E         HB5D      HB6Atm1      HB6Atm2         HB6E         HB6D      HB7Atm1      HB7Atm2         HB7E         HB7D      HB8Atm1      HB8Atm2         HB8E         HB8D      HB9Atm1      HB9Atm2         HB9E         HB9D     HB10Atm1     HB10Atm2        HB10E        HB10D     HB11Atm1     HB11Atm2        HB11E        HB11D     HB12Atm1     HB12Atm2        HB12E        HB12D        Helix        Sheet         Turn         Coil     Helix310      HelixPi  RadGyration       RMSDCa       RMSDBb      RMSDAll  RMSDLigMove  RMSDLigConf
     2000.000        2.000       96.539       96.539       96.539 -1159599.221   105202.599    65696.701   133056.164     1089.826 -1654276.152   189631.641    51282.588    25901.473    23269.744      432.000      887.000        0.000        2.000        3.000        5.000    NE.R120.A     O13.h0.N       19.150        1.909    OH.Y355.A     O14.h0.N       25.000        1.530            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.831        6.534       18.512       30.490        1.633        0.000       24.378        1.179        1.207        1.530        3.704        1.635
     2100.000        2.100       96.573       96.573       96.573 -1159490.069   105453.767    65516.458   132865.620     1075.762 -1651582.723   187181.048    50938.575    25970.555    23424.554      428.000      880.000        0.000        2.000        4.000        6.000    NE.R120.A     O13.h0.N       21.500        1.991    OH.Y355.A     O14.h0.N       25.000        1.837            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       42.831        5.808       14.156       36.479        0.726        0.000       24.400        1.134        1.169        1.508        3.899        1.538
     2200.000        2.200       96.580       96.580       96.580 -1159708.428   107074.003    65633.461   132670.302     1000.283 -1648773.623   182687.146    51566.805    26184.825    23678.379      418.000      859.000        0.000        2.000        4.000        6.000    NE.R120.A     O13.h0.N       23.850        2.000    OH.Y355.A     O14.h0.N       25.000        1.695            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.828        5.989       15.971       33.212        0.000        0.000       24.415        1.106        1.130        1.500        3.568        1.685
     2300.000        2.300       96.589       96.589       96.589 -1161899.790   107969.193    66021.316   132450.232     1168.975 -1653530.582   184021.077    50940.814    26030.933    23313.224      454.000      869.000        0.000        4.000        3.000        7.000    OG.S530.A      O7.h0.N       13.675        1.939    NE.R120.A     O13.h0.N       11.125        2.253   NH2.R120.A     O13.h0.N       17.300        1.938    OH.Y355.A     O14.h0.N       25.000        1.535            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.739        6.171       16.697       31.942        1.452        0.000       24.352        1.087        1.117        1.465        3.702        1.833
     2400.000        2.400       96.578       96.578       96.578 -1159819.042   107654.975    66096.701   132665.126     1050.867 -1653112.186   185825.474    50983.161    26071.605    23790.877      446.000      850.000        0.000        4.000        2.000        6.000    OG.S530.A      O7.h0.N       17.600        1.952    NE.R120.A     O13.h0.N        8.975        2.290   NH2.R120.A     O13.h0.N       20.725        1.870    OH.Y355.A     O14.h0.N       25.000        1.600            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       46.098        5.626       15.245       31.397        1.633        0.000       24.374        1.120        1.148        1.476        3.832        1.843
     2500.000        2.500       96.578       96.578       96.578 -1160064.411   107284.394    65685.565   132931.572     1084.200 -1653615.184   186565.041    51224.890    26263.168    23567.865      430.000      868.000        0.000        4.000        2.000        6.000    OG.S530.A     O10.h0.N       19.950        1.959    NE.R120.A     O13.h0.N       19.550        2.002   NH2.R120.A     O13.h0.N       12.525        2.113    OH.Y355.A     O14.h0.N       22.275        1.759            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.739        5.445       14.519       34.664        1.633        0.000       24.461        1.368        1.386        1.704        3.984        1.845
     2600.000        2.600       96.559       96.559       96.559 -1160954.495   105382.927    65770.011   132583.766     1107.547 -1653767.491   187968.744    50976.010    25928.861    23842.714      438.000      866.000        0.000        3.000        2.000        5.000    NE.R120.A     O13.h0.N       21.875        1.843   NH2.R120.A     O14.h0.N       12.500        1.882    OH.Y355.A     O14.h0.N       25.000        1.621            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       39.927        5.808       17.786       34.846        1.633        0.000       24.411        1.229        1.257        1.568        3.598        1.753
     2700.000        2.700       96.596       96.596       96.596 -1161708.826   107034.989    65851.260   132619.085     1074.169 -1654992.207   186703.877    50915.393    25734.012    23553.726      439.000      881.000        0.000        3.000        3.000        6.000    OG.S530.A     O10.h0.N       17.500        2.094    NE.R120.A     O13.h0.N       22.275        1.701    OH.Y355.A     O14.h0.N       25.000        1.561            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       44.646        3.630       18.149       32.849        0.726        0.000       24.307        1.217        1.242        1.583        3.882        1.788
     2800.000        2.800       96.552       96.552       96.552 -1160700.259   104514.875    66088.905   133328.952     1046.654 -1653171.088   187491.443    51336.550    26037.789    23783.593      437.000      890.000        0.000        2.000        2.000        4.000    OG.S530.A     O10.h0.N       11.425        2.004    NE.R120.A     O13.h0.N        9.675        2.236            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       43.557        4.719       17.423       33.575        0.726        0.000       24.372        1.306        1.329        1.651        3.730        1.724
     2900.000        2.900       96.579       96.579       96.579 -1160730.581   106432.581    66113.596   132705.270     1090.687 -1652788.933   185716.218    51102.385    25781.123    23593.757      441.000      880.000        0.000        1.000        5.000        6.000   NH2.R120.A     O13.h0.N       18.175        1.858            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -            -       45.554        5.989       13.793       32.305        2.359        0.000       24.441        1.343        1.364        1.698        3.897        1.975
