rank,id,name,klass,smiles,formula,MW,LogP,HBD,HBA,TPSA,RotB,AromRings,FractionCSP3,MolarRefr,HeavyAtoms,QED,SAscore,SynthEase,Lipinski_violations,Veber_pass,Egan_pass,PAINS_alerts,Brenk_alerts,Sim_celecoxib,pass_prefilter,DrugLikeScore,is_lead,is_reference
11.0,FA24,FA24,Benzoxazine derivative,COc1cc(/C=C/C(=O)O)cc2c1OCN(c1ccc(C)cc1)C2,C19H19NO4,325.36,3.46,1,4,59.0,4,2,0.211,92.5,24,0.873,2.37,0.848,0,True,True,1,1,0.189,False,0.735,False,False
12.0,FA16,FA16,Cinnamic acid derivative,COc1cc(/C=C/C(=O)O)ccc1OC(=O)c1ccccc1,C17H14O5,298.29,3.01,1,4,72.8,5,2,0.059,81.1,22,0.522,1.79,0.912,0,True,True,0,2,0.085,True,0.711,False,False
13.0,FA18,FA18,Cinnamic acid derivative,COc1cc(/C=C/C(=O)O)ccc1OC(=O)c1ccc(C)cc1,C18H16O5,312.32,3.32,1,4,72.8,5,2,0.111,85.8,23,0.521,1.84,0.907,0,True,True,0,2,0.145,True,0.709,False,False
14.0,FA17,FA17,Cinnamic acid derivative,COc1cc(/C=C/C(=O)O)ccc1OC(=O)c1ccc(Cl)cc1,C17H13ClO5,332.74,3.67,1,4,72.8,5,2,0.059,86.1,23,0.514,1.85,0.906,0,True,True,0,2,0.081,True,0.704,False,False
15.0,FA19,FA19,Cinnamic acid derivative,COc1ccc(C(=O)Oc2ccc(/C=C/C(=O)O)cc2OC)cc1,C18H16O6,328.32,3.02,1,5,82.1,6,2,0.111,87.6,24,0.499,1.85,0.906,0,True,True,0,2,0.082,True,0.696,True,False
16.0,FA11,FA11,Cinnamic acid derivative,CC(=O)Oc1ccc(/C=C/C(=O)O)cc1OC(C)=O,C13H12O6,264.23,1.64,1,5,89.9,4,1,0.154,65.7,19,0.505,2.1,0.878,0,True,True,0,2,0.094,True,0.691,False,False
17.0,FA10,FA10,Cinnamic acid derivative,COc1cc(/C=C/C(=O)O)ccc1OC(C)=O,C12H12O5,236.22,1.72,1,4,72.8,4,1,0.167,61.0,17,0.489,1.9,0.9,0,True,True,0,2,0.09,True,0.689,False,False
18.0,FA12,FA12,Cinnamic acid derivative,CCC(=O)Oc1ccc(/C=C/C(=O)O)cc1OC,C13H14O5,250.25,2.11,1,4,72.8,5,1,0.231,65.6,18,0.492,2.0,0.889,0,True,True,0,2,0.086,True,0.687,False,False
19.0,FA13,FA13,Cinnamic acid derivative,CCCC(=O)Oc1ccc(/C=C/C(=O)O)cc1OC,C14H16O5,264.28,2.5,1,4,72.8,6,1,0.286,70.2,19,0.485,2.0,0.889,0,True,True,0,2,0.083,True,0.683,False,False
20.0,FA7,FA7,Cinnamic acid derivative,CCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,C14H18O4,250.29,2.76,1,4,55.8,6,1,0.357,69.6,18,0.479,1.96,0.893,0,True,True,0,2,0.097,True,0.681,False,False
21.0,FA14,FA14,Cinnamic acid derivative,CCCCC(=O)Oc1ccc(/C=C/C(=O)O)cc1OC,C15H18O5,278.3,2.89,1,4,72.8,7,1,0.333,74.8,20,0.471,1.98,0.891,0,True,True,0,2,0.096,True,0.676,False,False
22.0,FA8,FA8,Cinnamic acid derivative,CCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,C15H20O4,264.32,3.15,1,4,55.8,7,1,0.4,74.2,19,0.467,1.96,0.893,0,True,True,0,2,0.096,True,0.675,False,False
23.0,FA15,FA15,Cinnamic acid derivative,CCCCCC(=O)Oc1ccc(/C=C/C(=O)O)cc1OC,C16H20O5,292.33,3.28,1,4,72.8,8,1,0.375,79.4,21,0.344,1.98,0.891,0,True,True,0,3,0.095,True,0.606,False,False
